full_address,nearest_mrt_station,distance,num_mrt_2km
44 SIMS DR,Aljunied,0.6550130129308654,13
54 KENT RD,Farrer Park,0.548193841195854,11
361 YISHUN RING RD,Yishun,1.2180934692650984,2
47 JLN BAHAGIA,Boon Keng,0.9759204386364673,8
716 WOODLANDS DR 70,Woodlands,1.5700258342839148,2
612 BEDOK RESERVOIR RD,Bedok North,0.4634329815758853,7
186 BT BATOK WEST AVE 6,Bukit Batok,0.672162107148084,4
41 TEBAN GDNS RD,Jurong East,1.2932224145336442,1
138 YISHUN RING RD,Yishun,0.5378074571630146,2
343 YISHUN AVE 11,Yishun,0.9858579612750644,2
98 C'WEALTH CRES,Commonwealth,0.5962873302319415,6
767 CHOA CHU KANG ST 54,Yew Tee,0.4464429637987452,2
613 CHOA CHU KANG ST 62,Yew Tee,0.4999820750947746,2
121 MARSILING RISE,Woodlands,0.7550570089187238,3
257B COMPASSVALE RD,Sengkang,0.1957600729733658,3
171A EDGEDALE PLAINS,Punggol,1.6074603829188399,2
256 ANG MO KIO AVE 4,Ang Mo Kio,1.5171788953177672,2
516 CHOA CHU KANG ST 51,Choa Chu Kang,0.6182001786720074,2
626 JURONG WEST ST 65,Pioneer,0.48044100881329427,2
933A HOUGANG AVE 9,Hougang,1.2637509512085319,3
228 PENDING RD,Cashew,0.9246884353849134,3
98 LOR 1 TOA PAYOH,Braddell,0.2084418295901607,5
271B SENGKANG CTRL,Buangkok,0.3007505315147087,3
313 SHUNFU RD,Marymount,0.3410609192945175,4
142 BT BATOK ST 11,Bukit Batok,0.7566511493241126,4
427 YISHUN AVE 11,Yishun,1.6775053893547114,2
651 SENJA LINK,Bukit Panjang,0.924436574598583,2
471A UPP SERANGOON CRES,Buangkok,1.0794414611096246,3
870A TAMPINES ST 86,Tampines,1.300312559149367,2
780F WOODLANDS CRES,Woodlands,2.028778895997024,0
207C PUNGGOL PL,Punggol,0.5496972152372779,2
179 ANG MO KIO AVE 5,Yio Chu Kang,1.1078619453552798,2
517C JURONG WEST ST 52,Lakeside,0.11364364171458528,3
337D TAH CHING RD,Lakeside,0.7716829443170854,3
207A PUNGGOL PL,Punggol,0.5628587540902772,2
28 MARSILING DR,Marsiling,1.1302667346594961,3
61 NEW UPP CHANGI RD,Tanah Merah,0.8101682426689536,3
455 YISHUN ST 41,Khatib,1.2985945696804262,2
653C JURONG WEST ST 61,Pioneer,0.25128109506951724,2
604C PUNGGOL RD,Punggol,0.5990690064592419,2
172 BISHAN ST 13,Bishan,0.7051899969559302,6
544 CHOA CHU KANG ST 52,Yew Tee,0.5823071873789649,2
704 CHOA CHU KANG ST 53,Choa Chu Kang,0.5780549625916861,2
516 SERANGOON NTH AVE 4,Kovan,1.7968898672841973,1
365B UPP SERANGOON RD,Hougang,0.6053270123475234,3
270A SENGKANG CTRL,Buangkok,0.3215843085109259,3
591A MONTREAL LINK,Sembawang,0.7104223369321392,1
173 BISHAN ST 13,Bishan,0.7592385658297487,6
162B RIVERVALE CRES,Sengkang,1.409989898432731,3
205A COMPASSVALE LANE,Buangkok,0.5252917660271668,3
107 BEDOK RESERVOIR RD,Kaki Bukit,0.5759079587572483,5
109 BEDOK RESERVOIR RD,Kaki Bukit,0.6093428145578709,5
5 DOVER CRES,one-north,0.720692805533685,6
8 ST. GEORGE'S LANE,Boon Keng,0.43315155349044376,9
210 HOUGANG ST 21,Kovan,0.20607682368297256,4
704 YISHUN AVE 5,Yishun,0.6875538846659811,2
32 BALAM RD,MacPherson,0.4359600238104613,8
14 GHIM MOH RD,Buona Vista,0.19463514594312817,6
22 QUEEN'S CL,Queenstown,0.713488066930746,7
139 PETIR RD,Cashew,0.816955758811207,3
508 TAMPINES CTRL 1,Tampines,0.24834660881999404,4
498A TAMPINES ST 45,Tampines East,0.6483604974072819,3
685C WOODLANDS DR 73,Sembawang,1.7888515966157235,1
406 TAMPINES ST 41,Tampines,0.46220050238172933,5
26 MARSILING DR,Marsiling,1.0427733441499838,3
31 EUNOS CRES,Eunos,0.13292482423619206,7
269B PUNGGOL FIELD,Punggol,0.45487881931622004,2
